"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 19 13:05:30 GMT 2023","Sun Nov 19 13:05:34 GMT 2023","3858","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 13:05:34 GMT 2023","Sun Nov 19 13:05:37 GMT 2023","2478","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","deleteCarModelTest","deleteCarModelTest",""
"passed","Sun Nov 19 13:05:25 GMT 2023","Sun Nov 19 13:05:29 GMT 2023","3654","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 13:05:29 GMT 2023","Sun Nov 19 13:05:32 GMT 2023","3113","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","editCarBrandTest","editCarBrandTest",""
"passed","Sun Nov 19 13:05:34 GMT 2023","Sun Nov 19 13:05:36 GMT 2023","2319","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 13:05:18 GMT 2023","Sun Nov 19 13:05:27 GMT 2023","9220","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 13:05:32 GMT 2023","Sun Nov 19 13:05:35 GMT 2023","2496","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","deleteCarBrandTest","deleteCarBrandTest",""
"passed","Sun Nov 19 13:05:29 GMT 2023","Sun Nov 19 13:05:31 GMT 2023","2633","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","addingCarModelTest","addingCarModelTest",""
"passed","Sun Nov 19 13:05:34 GMT 2023","Sun Nov 19 13:05:36 GMT 2023","2009","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 13:05:18 GMT 2023","Sun Nov 19 13:06:12 GMT 2023","54884","test suite","e2e tests","testngtests.AdminPanelTest","testngtests.AdminPanelTest","adminPanelTest","adminPanelTest",""
"passed","Sun Nov 19 13:05:30 GMT 2023","Sun Nov 19 13:05:34 GMT 2023","3849","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 13:05:29 GMT 2023","Sun Nov 19 13:05:31 GMT 2023","2541","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 13:05:18 GMT 2023","Sun Nov 19 13:05:29 GMT 2023","11531","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","addingCarBrandTest","addingCarBrandTest",""
"passed","Sun Nov 19 13:05:36 GMT 2023","Sun Nov 19 13:05:40 GMT 2023","3743","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 13:05:31 GMT 2023","Sun Nov 19 13:05:34 GMT 2023","3007","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","editCarModelTest","editCarModelTest",""
"passed","Sun Nov 19 13:05:31 GMT 2023","Sun Nov 19 13:05:34 GMT 2023","2292","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 13:05:18 GMT 2023","Sun Nov 19 13:05:25 GMT 2023","7227","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 13:05:27 GMT 2023","Sun Nov 19 13:05:30 GMT 2023","3338","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
