"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","728","changingPasswordTest","test suite","Fri May 16 21:48:33 GMT 2025","skipped","Fri May 16 21:48:34 GMT 2025","testngtests.ChangingPasswordTest","e2e tests","testngtests.ChangingPasswordTest","changingPasswordTest"
"","3460","loginTest","test suite","Fri May 16 21:48:32 GMT 2025","passed","Fri May 16 21:48:35 GMT 2025","testngtests.LoginTest","e2e tests","testngtests.LoginTest","loginTest"
"","10545","addingCarBrandTest","test suite","Fri May 16 21:48:24 GMT 2025","passed","Fri May 16 21:48:34 GMT 2025","testngtests.CarBrandTest","e2e tests","testngtests.CarBrandTest","addingCarBrandTest"
"","1054","prepareUserForTest","test suite","Fri May 16 21:48:30 GMT 2025","broken","Fri May 16 21:48:32 GMT 2025","testngtests.ChangingPasswordTest","e2e tests","testngtests.ChangingPasswordTest","prepareUserForTest"
"","2984","deleteCarModelTest","test suite","Fri May 16 21:48:41 GMT 2025","passed","Fri May 16 21:48:44 GMT 2025","testngtests.CarModelTest","e2e tests","testngtests.CarModelTest","deleteCarModelTest"
"","3935","registrationTest","test suite","Fri May 16 21:48:31 GMT 2025","passed","Fri May 16 21:48:35 GMT 2025","testngtests.RegistrationTest","e2e tests","testngtests.RegistrationTest","registrationTest"
"","1917","registrationTest","test suite","Fri May 16 21:48:38 GMT 2025","passed","Fri May 16 21:48:39 GMT 2025","testngtests.RegistrationTest","e2e tests","testngtests.RegistrationTest","registrationTest"
"","8062","loginTest","test suite","Fri May 16 21:48:24 GMT 2025","passed","Fri May 16 21:48:32 GMT 2025","testngtests.LoginTest","e2e tests","testngtests.LoginTest","loginTest"
"","2955","addingCarModelTest","test suite","Fri May 16 21:48:35 GMT 2025","passed","Fri May 16 21:48:38 GMT 2025","testngtests.CarModelTest","e2e tests","testngtests.CarModelTest","addingCarModelTest"
"","3569","editCarModelTest","test suite","Fri May 16 21:48:38 GMT 2025","passed","Fri May 16 21:48:41 GMT 2025","testngtests.CarModelTest","e2e tests","testngtests.CarModelTest","editCarModelTest"
"","693","changingPasswordTest","test suite","Fri May 16 21:48:32 GMT 2025","skipped","Fri May 16 21:48:32 GMT 2025","testngtests.ChangingPasswordTest","e2e tests","testngtests.ChangingPasswordTest","changingPasswordTest"
"","515","changingPasswordTest","test suite","Fri May 16 21:48:32 GMT 2025","skipped","Fri May 16 21:48:33 GMT 2025","testngtests.ChangingPasswordTest","e2e tests","testngtests.ChangingPasswordTest","changingPasswordTest"
"","1561","loginTest","test suite","Fri May 16 21:48:39 GMT 2025","passed","Fri May 16 21:48:40 GMT 2025","testngtests.LoginTest","e2e tests","testngtests.LoginTest","loginTest"
"","3491","loginTest","test suite","Fri May 16 21:48:35 GMT 2025","passed","Fri May 16 21:48:39 GMT 2025","testngtests.LoginTest","e2e tests","testngtests.LoginTest","loginTest"
"","4643","deleteCarBrandTest","test suite","Fri May 16 21:48:39 GMT 2025","passed","Fri May 16 21:48:43 GMT 2025","testngtests.CarBrandTest","e2e tests","testngtests.CarBrandTest","deleteCarBrandTest"
"","7867","registrationTest","test suite","Fri May 16 21:48:24 GMT 2025","broken","Fri May 16 21:48:31 GMT 2025","testngtests.RegistrationTest","e2e tests","testngtests.RegistrationTest","registrationTest"
"","4544","editCarBrandTest","test suite","Fri May 16 21:48:34 GMT 2025","passed","Fri May 16 21:48:39 GMT 2025","testngtests.CarBrandTest","e2e tests","testngtests.CarBrandTest","editCarBrandTest"
"","7867","adminPanelTest","test suite","Fri May 16 21:48:24 GMT 2025","broken","Fri May 16 21:48:31 GMT 2025","testngtests.AdminPanelTest","e2e tests","testngtests.AdminPanelTest","adminPanelTest"
"","2160","registrationTest","test suite","Fri May 16 21:48:35 GMT 2025","passed","Fri May 16 21:48:38 GMT 2025","testngtests.RegistrationTest","e2e tests","testngtests.RegistrationTest","registrationTest"
